1172824710729650176,2019-09-14 10:49:35,HomelandBulldo2,French Bulldog Puppies For Sale on #Google https://t.co/97k9e7254j,"['puppies', ['Google']]",False
1172824461910970368,2019-09-14 10:48:36,berrymaiden,@Dutchwouter777 Currently listening to snoring puppies. So sweet! 💕,"['puppies', []]",False
1172824182519934978,2019-09-14 10:47:29,thamied2,@beautymoyo211g1 @mphobmt @pearlz_mn I will join you on puppies,"['puppies', []]",False
1172823902642479105,2019-09-14 10:46:23,canadian_gal,#NHL puppies @ArizonaCoyotes  -Luna  @StLouisBlues - Barclay @SanJoseSharks  - Finn @TBLightning - Bolt @CanadiensMTL - Flambo @NYRangers - Ranger @Senators - Rookie @NYIslanders - Radar @mnwild - Breeze   @EdmontonOilers - 🤷‍♀️ your move  #oilers #LetsGoOilers #HockeyTwitter,"['puppies', ['NHL', 'oilers', 'LetsGoOilers', 'HockeyTwitter']]",False
1172823889241608194,2019-09-14 10:46:19,amyrookesx,So many cute little puppies over here that I would lie down and die for. My dad says they all have fleas but he’s just jealous they get more attention from my mum than he does,"['puppies', []]",False
1172823888612470784,2019-09-14 10:46:19,QueenUniverse10,"Chow Chow, Rhodesian Ridgeback, and Havanese Puppies | Too Cute! (Full E... https://t.co/9YUzSGfMU6 via @YouTube","['puppies', []]",False
1172823888226656256,2019-09-14 10:46:19,stylgsgs,nhc with puppies bc this is what everyone needs: a thread,"['puppies', []]",False
1172823490967289856,2019-09-14 10:44:44,TopStuff4Dogs,#doggy #puppies Summer Pet Dog Clothes for Small Dogs Fashion Cotton Cat Dog T shirt Vest Puppy Clothing Chihuahua Yorkshire Shirts Pets Product-in Dog Coats &amp;amp; Jackets from Home &amp;amp; Garden on https://t.co/a1c0EaXn6z | Alibaba Group https://t.co/Gqqp47dhCy https://t.co/LNvOgEDvD5,"['puppies', ['doggy', 'puppies']]",True
1172823373174362113,2019-09-14 10:44:16,FreedomsAus,"@Marlyrix @Daenerys8888 @DanielAndrewsMP But, hey - he cares about puppies :(","['puppies', []]",False
1172823201530834945,2019-09-14 10:43:35,RellaBea,@Bill_Maxwell_ @ResistanceNOW77 Trying to get to 3k. I'm here for the #Resistance and puppies.,"['puppies', ['Resistance']]",False
1172823147923615745,2019-09-14 10:43:23,bitterbrowngirl,The puppies did not deserve that dead reaction https://t.co/idPgatnTcU,"['puppies', []]",False
1172822859607158784,2019-09-14 10:42:14,artzfarttzz,Psychiatrists should give puppies not anti-depressents,"['puppies', []]",False
1172822110122545153,2019-09-14 10:39:15,fetterward,Please make rock drakes breedable! They are so material costly to capture and they are also cute angry rocky dragon puppies!! ;A; @OfficialPixARK,"['puppies', []]",False
1172822035283750913,2019-09-14 10:38:57,SaeBeverley,@NotRightRuth “So how has your doctorate in women’s studies helped prepare you for a career in puppies?”,"['puppies', []]",False
1172821906891821056,2019-09-14 10:38:27,Zsanehlouiohn,Babies and Puppies are so fcking adorable ❤,"['puppies', []]",False
1172821155490738176,2019-09-14 10:35:28,InfiniteSmile1,"@coffeebean222 If you've read or heard the autobiography of Fredrick Douglas you may come to see that taking puppies away from their pack, at any time, is 'child' abuse.  #EndGlobalApartheid","['puppies', ['EndGlobalApartheid']]",False
1172821107583287296,2019-09-14 10:35:16,fit4dogsuk1,🐶🐶⚠️Cute puppy alert ⚠️ 🐶🐶  Athens the 4 month old newfoundland joined the Fit4dogsuk puppy swim team today.  Well done on an amazing start to your swimming journey.  Fun swims are the ideal way for  puppies to burn… https://t.co/AlHnLgGKu5,"['puppies', []]",False
1172821077824872448,2019-09-14 10:35:09,Philipp53541896,"@katieeeeebell @KatieeeeebeII Puppies (not those kind), Tottenham,xbox and losing weight","['puppies', []]",False
1172820809964019712,2019-09-14 10:34:05,taemeri,@pankoma Sigh I want a nice boy and puppies n kitties but that's asking too much of the universe unfortunately,"['puppies', []]",False
